Date,Product_ID,Order_Quantity,Demand,Inventory_Level,Lead_Time,Machine_Availability,Supplier_Reliability
2024-01-10,A,161,83,219,1,1,0.7252419894985146
2024-01-10,B,173,67,203,4,1,0.8116848299685229
2024-01-10,C,108,54,960,2,1,0.8646201368099758
2024-01-10,D,63,64,819,13,1,0.9136537664042608
2024-01-10,E,42,43,376,4,1,0.9232511569169687
2024-01-11,A,154,62,787,12,1,0.8908997854557686
2024-01-11,B,31,139,769,6,1,0.8460226458878365
2024-01-11,C,17,56,126,2,1,0.8935310086091695
2024-01-11,D,120,93,580,5,1,0.8497580139654257
2024-01-11,E,13,64,291,1,0,0.9983651532392023
2024-01-12,A,167,122,145,5,1,0.9243156321692242
2024-01-12,B,46,53,448,1,1,0.8716877407512514
2024-01-12,C,197,126,215,13,1,0.9553410014550571
2024-01-12,D,76,47,892,10,1,0.9088089390024919
2024-01-12,E,113,75,891,2,1,0.9970161550312789
2024-01-13,A,136,56,589,2,1,0.9546009384774023
2024-01-13,B,146,72,345,7,1,0.9428083466435541
2024-01-13,C,108,79,507,13,0,0.7015554588321959
2024-01-13,D,45,74,119,1,0,0.8190351481641664
2024-01-13,E,151,105,982,7,0,0.8736594686522676
2024-01-14,A,41,116,953,3,1,0.862793390412273
2024-01-14,B,134,51,413,10,0,0.7112044566247643
2024-01-14,C,79,44,153,11,1,0.8566729780164413
2024-01-14,D,62,89,719,5,1,0.9526069225035944
2024-01-14,E,125,123,146,3,1,0.9178274001167984
2024-01-15,A,22,143,735,10,1,0.9385558584306111
2024-01-15,B,72,48,703,10,0,0.7076052230246372
2024-01-15,C,126,91,890,9,1,0.7174580786525331
2024-01-15,D,131,30,850,2,1,0.7281619870243875
2024-01-15,E,98,133,336,5,1,0.85500887722797
2024-01-16,A,78,51,960,7,0,0.8698111631482228
2024-01-16,B,188,130,185,9,1,0.7275397197440325
2024-01-16,C,56,142,193,14,1,0.7525990809668015
2024-01-16,D,153,119,573,5,1,0.7519605609730046
2024-01-16,E,110,52,861,10,1,0.9660041161894143
2024-01-17,A,189,124,861,3,1,0.9569469523564966
2024-01-17,B,78,138,615,8,1,0.9832754791375502
2024-01-17,C,137,61,574,4,1,0.8164509778619565
2024-01-17,D,133,62,790,11,1,0.8158307913402323
2024-01-17,E,170,69,941,11,1,0.7208083902625496
2024-01-18,A,104,75,997,13,0,0.904902032024907
2024-01-18,B,90,119,875,13,1,0.7069815807207477
2024-01-18,C,171,144,716,7,1,0.9090211496092452
2024-01-18,D,84,58,475,4,1,0.9902741654560743
2024-01-18,E,173,39,968,9,1,0.8727773725774254
2024-01-19,A,108,141,647,2,1,0.8741632037031729
2024-01-19,B,160,91,835,5,1,0.9039534339700738
2024-01-19,C,32,118,966,9,1,0.860298242059169
2024-01-19,D,93,141,828,6,1,0.7299954661485589
2024-01-19,E,109,41,544,9,1,0.8064715571388161
2024-01-20,A,37,107,834,4,1,0.8895511636509398
2024-01-20,B,126,98,198,12,1,0.9017555368231115
2024-01-20,C,62,52,243,9,1,0.9792787317061877
2024-01-20,D,195,68,497,10,1,0.9663112548274899
2024-01-20,E,84,47,850,12,1,0.9510891622712121
2024-01-21,A,154,131,618,14,1,0.721828901909258
2024-01-21,B,187,56,733,2,0,0.7254513142255575
2024-01-21,C,92,37,595,13,1,0.9438398701772508
2024-01-21,D,80,118,400,4,1,0.9124543586749599
2024-01-21,E,28,90,975,6,1,0.7746172463290864
2024-01-22,A,28,68,225,3,1,0.8215606260344251
2024-01-22,B,135,87,759,12,1,0.9468371055630079
2024-01-22,C,176,30,486,13,1,0.8200668678616074
2024-01-22,D,122,54,923,1,1,0.9889667618321833
2024-01-22,E,53,74,771,13,0,0.9673429341094213
2024-01-23,A,127,114,302,12,0,0.8661562853203962
2024-01-23,B,29,86,501,9,1,0.7883481840518289
2024-01-23,C,10,146,665,6,1,0.9211302117529058
2024-01-23,D,21,103,835,8,1,0.7320268197807652
2024-01-23,E,126,37,221,12,1,0.8164805151969616
2024-01-24,A,69,79,639,12,1,0.7779849588562788
2024-01-24,B,164,147,244,9,1,0.9441385059120846
2024-01-24,C,166,42,657,3,1,0.9849399739875772
2024-01-24,D,56,54,549,10,1,0.9598191668501225
2024-01-24,E,118,34,218,8,1,0.9431659992345499
2024-01-25,A,186,40,952,10,1,0.990974319344381
2024-01-25,B,36,78,560,1,1,0.8244458507012995
2024-01-25,C,138,50,922,6,1,0.8603038825088389
2024-01-25,D,142,131,870,5,1,0.9178362532215544
2024-01-25,E,92,46,184,14,1,0.7754327318535396
2024-01-26,A,182,106,871,14,1,0.9270997396516686
2024-01-26,B,43,121,194,8,0,0.8494495559937678
2024-01-26,C,191,147,870,11,1,0.9449157205639187
2024-01-26,D,142,123,833,11,1,0.7402045685351922
2024-01-26,E,56,52,306,5,1,0.911223930429767
2024-01-27,A,188,132,521,12,1,0.8824263548625656
2024-01-27,B,91,59,434,11,0,0.9179191097950684
2024-01-27,C,175,126,434,12,1,0.8570806828045033
2024-01-27,D,90,34,896,4,1,0.9526274245056129
2024-01-27,E,26,113,168,2,1,0.8042240224676243
2024-01-28,A,135,136,142,11,0,0.7386639165731947
2024-01-28,B,192,109,194,11,1,0.8922624234409644
2024-01-28,C,113,33,795,9,1,0.8421884920788617
2024-01-28,D,102,61,160,10,1,0.9465371910533348
2024-01-28,E,101,71,928,6,0,0.7361907613301802
2024-01-29,A,21,119,145,2,1,0.7990298539930466
2024-01-29,B,164,102,893,9,1,0.9063354151288249
2024-01-29,C,65,123,206,13,0,0.960490332110676
2024-01-29,D,17,142,966,13,1,0.8609771937961997
2024-01-29,E,65,115,625,10,1,0.8593797261920602
2024-01-30,A,139,138,765,14,1,0.7399350785762434
2024-01-30,B,12,140,849,11,1,0.7321516034019327
2024-01-30,C,47,128,982,9,1,0.7546851635427874
2024-01-30,D,48,86,372,7,0,0.860600669204657
2024-01-30,E,34,46,624,4,1,0.8065312909837914
2024-01-31,A,118,47,210,4,1,0.8760523354062637
2024-01-31,B,17,69,468,12,1,0.7851327717396173
2024-01-31,C,15,81,381,2,1,0.849474309354682
2024-01-31,D,130,62,536,6,1,0.8096070459022172
2024-01-31,E,121,33,449,11,0,0.9417594660223431
2024-02-01,A,161,84,236,7,0,0.7054727444285083
2024-02-01,B,45,53,322,6,1,0.9908411299826106
2024-02-01,C,13,108,745,6,1,0.7512662762170197
2024-02-01,D,188,91,540,2,1,0.8714838068409699
2024-02-01,E,188,74,399,5,1,0.797103770921273
2024-02-02,A,28,113,324,4,1,0.734451047421761
2024-02-02,B,99,43,419,6,1,0.7463088145822606
2024-02-02,C,109,106,358,1,1,0.8362803916657299
2024-02-02,D,14,52,749,12,1,0.90537146436395
2024-02-02,E,93,94,418,5,0,0.7350088192425044
2024-02-03,A,152,53,649,7,1,0.7320097750340308
2024-02-03,B,78,91,335,2,1,0.9192602425610933
2024-02-03,C,146,63,687,3,0,0.9223361947870177
2024-02-03,D,159,89,931,13,1,0.9385801935579671
2024-02-03,E,23,89,897,3,1,0.9443724160694146
2024-02-04,A,132,107,509,14,1,0.9631601622439325
2024-02-04,B,98,47,395,8,1,0.8130833288274723
2024-02-04,C,188,67,964,7,1,0.8732458812718377
2024-02-04,D,154,126,602,2,1,0.9719416332893641
2024-02-04,E,188,68,297,6,1,0.9191647410427904
2024-02-05,A,51,93,599,13,1,0.9224382733417136
2024-02-05,B,164,65,256,6,1,0.9120941383730377
2024-02-05,C,164,84,388,14,1,0.9142192246670843
2024-02-05,D,14,103,964,6,1,0.7331895210865621
2024-02-05,E,118,117,795,13,1,0.8459072445986823
2024-02-06,A,77,105,784,2,0,0.879532810361568
2024-02-06,B,173,65,893,11,1,0.9480396483427235
2024-02-06,C,83,133,649,6,1,0.8386017410932398
2024-02-06,D,55,136,495,10,1,0.8517666036653397
2024-02-06,E,120,133,927,11,1,0.8695399550767626
2024-02-07,A,77,34,987,5,1,0.7457617128742784
2024-02-07,B,101,60,477,9,1,0.9209332706874168
2024-02-07,C,49,70,825,11,1,0.7339714137522265
2024-02-07,D,158,119,721,4,1,0.9762525647852117
2024-02-07,E,72,83,666,3,1,0.8197008111610391
2024-02-08,A,62,38,301,4,1,0.8811164595190417
2024-02-08,B,44,92,343,9,1,0.9768880695395454
2024-02-08,C,144,111,574,2,1,0.8761204672409701
2024-02-08,D,196,137,862,3,1,0.8732895862274641
2024-02-08,E,189,99,600,8,1,0.9341487122638263
2024-02-09,A,159,55,255,2,1,0.7534107900609254
2024-02-09,B,93,134,788,4,1,0.7256049004235932
2024-02-09,C,198,133,660,7,1,0.7201229432165283
2024-02-09,D,188,85,822,14,1,0.7572063161991
2024-02-09,E,182,122,385,8,1,0.7882134037662915
2024-02-10,A,124,76,293,6,1,0.8202289182625978
2024-02-10,B,175,80,930,4,1,0.9585356863040552
2024-02-10,C,112,32,899,10,1,0.8931998629717047
2024-02-10,D,133,126,186,7,1,0.9147916686542192
2024-02-10,E,102,37,932,9,1,0.7693224389764214
2024-02-11,A,196,101,153,9,1,0.7535633986163001
2024-02-11,B,106,121,363,2,1,0.9966186345866328
2024-02-11,C,41,149,913,11,1,0.983322917673182
2024-02-11,D,191,114,834,7,1,0.7039005770532207
2024-02-11,E,16,62,250,5,0,0.7544306305269391
2024-02-12,A,45,58,799,2,1,0.9452330685215322
2024-02-12,B,157,40,845,2,1,0.7102684332461587
2024-02-12,C,29,34,904,6,1,0.8088273683997836
2024-02-12,D,62,73,966,4,1,0.9339276324364092
2024-02-12,E,90,103,257,8,1,0.8413196358081443
2024-02-13,A,123,144,308,14,1,0.9096537559482714
2024-02-13,B,34,132,300,6,1,0.8265111803659845
2024-02-13,C,163,87,128,13,1,0.9049551569336444
2024-02-13,D,79,47,227,5,1,0.8494272260533017
2024-02-13,E,43,46,776,9,1,0.9160607744896887
2024-02-14,A,126,135,441,5,1,0.7799495180112647
2024-02-14,B,177,127,367,13,1,0.7526113835870348
2024-02-14,C,182,46,575,14,1,0.7140897900325165
2024-02-14,D,63,136,804,3,0,0.9312957776606435
2024-02-14,E,38,50,878,8,1,0.9746541031875742
2024-02-15,A,196,68,843,3,1,0.8189948119156163
2024-02-15,B,161,147,505,5,1,0.7809733667176585
2024-02-15,C,157,112,838,4,0,0.8489098741603709
2024-02-15,D,118,136,581,9,1,0.7319794759401315
2024-02-15,E,49,46,740,9,1,0.8794858174804464
2024-02-16,A,34,68,902,3,0,0.7007018171877334
2024-02-16,B,188,123,201,2,1,0.7943789670428233
2024-02-16,C,196,78,116,10,1,0.8563902002240708
2024-02-16,D,21,91,691,8,1,0.8916848156002786
2024-02-16,E,90,116,584,6,1,0.9941730400539964
2024-02-17,A,98,41,754,11,1,0.983217801905984
2024-02-17,B,56,61,877,7,1,0.8667419744311539
2024-02-17,C,95,36,881,5,1,0.7577797083356891
2024-02-17,D,81,143,926,7,1,0.9235193644360661
2024-02-17,E,125,68,501,11,1,0.7111022904146478
2024-02-18,A,168,53,719,12,1,0.9654995069569843
2024-02-18,B,180,69,282,7,0,0.7945871013491831
2024-02-18,C,13,122,496,2,1,0.8280451169964593
2024-02-18,D,117,95,410,3,1,0.7063808232551161
2024-02-18,E,22,42,373,3,0,0.7028456300885494
2024-02-19,A,38,91,576,14,1,0.888251638965511
2024-02-19,B,193,137,338,9,1,0.8253300346502
2024-02-19,C,112,113,488,1,1,0.7331422339394184
2024-02-19,D,151,149,769,2,1,0.7700823253149729
2024-02-19,E,162,77,804,5,1,0.8283319401207587
2024-02-20,A,58,117,239,11,1,0.9359035043246656
2024-02-20,B,180,99,906,8,1,0.8802395339326594
2024-02-20,C,71,106,325,9,1,0.7194959228448682
2024-02-20,D,81,49,960,6,1,0.8538065533049526
2024-02-20,E,83,136,325,9,1,0.7559314786432764
2024-02-21,A,12,149,873,5,0,0.9907307890422434
2024-02-21,B,186,38,198,4,1,0.7521685747658462
2024-02-21,C,172,79,949,14,1,0.9692308444138612
2024-02-21,D,22,149,992,9,1,0.8740258623513434
2024-02-21,E,107,40,716,8,1,0.7388544763848413
2024-02-22,A,146,96,837,12,0,0.7987154096109613
2024-02-22,B,34,34,494,11,1,0.7757947281882654
2024-02-22,C,47,101,350,5,0,0.8597807558202286
2024-02-22,D,46,89,787,13,1,0.9974426005435144
2024-02-22,E,123,69,400,14,1,0.9474042897775448
2024-02-23,A,65,69,965,8,1,0.7801084810508264
2024-02-23,B,15,117,246,8,1,0.7472021979107577
2024-02-23,C,57,70,880,11,1,0.9790271051529216
2024-02-23,D,109,92,766,6,1,0.964491139831105
2024-02-23,E,54,87,860,3,1,0.7015435512264144
2024-02-24,A,169,136,536,14,1,0.7003360334440328
2024-02-24,B,11,107,688,13,1,0.7579398593761879
2024-02-24,C,22,75,766,1,1,0.7347531570340773
2024-02-24,D,107,89,547,8,1,0.7385346154279574
2024-02-24,E,167,100,685,9,1,0.8025616498116058
2024-02-25,A,69,108,321,5,1,0.9811685461709353
2024-02-25,B,105,129,341,4,1,0.9124516265935845
2024-02-25,C,159,46,985,1,0,0.7224083253273562
2024-02-25,D,59,43,803,13,1,0.8942720930205723
2024-02-25,E,189,105,106,13,0,0.7970830657448623
2024-02-26,A,88,61,558,10,0,0.7476814849830269
2024-02-26,B,38,33,198,13,1,0.8581072288635586
2024-02-26,C,38,58,174,4,1,0.9318468340050413
2024-02-26,D,93,51,558,11,1,0.9889709960320395
2024-02-26,E,193,121,120,5,1,0.8192783193888382
2024-02-27,A,194,98,486,11,1,0.9682297611037404
2024-02-27,B,24,63,262,1,1,0.8105579031171283
2024-02-27,C,24,137,307,11,1,0.7556576547109363
2024-02-27,D,154,122,408,8,1,0.9534349684350663
2024-02-27,E,140,122,792,8,1,0.8849950943562214
2024-02-28,A,55,44,252,14,1,0.7375557376607651
2024-02-28,B,93,129,620,6,1,0.748247640723457
2024-02-28,C,126,31,443,8,1,0.8365660447245403
2024-02-28,D,81,50,373,14,1,0.8439816504151371
2024-02-28,E,104,67,643,11,1,0.9580367191567614
2024-02-29,A,111,70,491,11,1,0.7314790535254524
2024-02-29,B,154,105,988,14,1,0.8496664460354068
2024-02-29,C,95,121,759,1,1,0.7029312542257551
2024-02-29,D,106,31,324,1,1,0.7247525603321263
2024-02-29,E,86,145,765,6,1,0.9932399158944357
2024-03-01,A,99,75,221,2,1,0.7123550485837815
2024-03-01,B,181,78,971,11,1,0.9688663908055115
2024-03-01,C,18,35,172,7,1,0.7896507659011941
2024-03-01,D,17,101,789,12,1,0.8018350577628418
2024-03-01,E,136,36,558,4,1,0.879242758789579
2024-03-02,A,31,55,994,3,0,0.7491998442968492
2024-03-02,B,23,104,111,7,1,0.8437836785728862
2024-03-02,C,131,48,666,14,1,0.7546353747066098
2024-03-02,D,128,82,794,3,1,0.7062583417874614
2024-03-02,E,159,66,451,8,1,0.895097705904081
2024-03-03,A,44,90,192,6,0,0.7773048665533641
2024-03-03,B,85,78,961,5,1,0.9228119563599942
2024-03-03,C,157,66,615,12,1,0.9962948691208173
2024-03-03,D,161,79,788,3,1,0.8315846257568771
2024-03-03,E,126,127,611,4,1,0.9702105592033775
2024-03-04,A,15,68,854,3,1,0.8077453088998694
2024-03-04,B,140,138,629,8,1,0.7707376281877629
2024-03-04,C,35,37,199,14,1,0.7712629974771632
2024-03-04,D,87,31,474,5,1,0.8476833569344104
2024-03-04,E,71,147,927,13,1,0.8544452061789071
2024-03-05,A,93,31,842,6,1,0.7936444170089341
2024-03-05,B,37,95,262,5,0,0.8765237900021816
2024-03-05,C,193,65,400,7,1,0.7708151390039392
2024-03-05,D,127,43,691,10,1,0.9008171204378084
2024-03-05,E,114,30,232,4,1,0.9845750064554302
2024-03-06,A,66,93,985,4,1,0.8816614472934649
2024-03-06,B,184,130,303,5,1,0.9116156782336611
2024-03-06,C,65,57,466,6,1,0.7335758858193183
2024-03-06,D,123,107,741,9,1,0.9809817076884885
2024-03-06,E,38,30,218,3,1,0.9801625052583715
2024-03-07,A,78,62,790,14,1,0.8192136965393203
2024-03-07,B,52,127,316,2,1,0.8740336689086404
2024-03-07,C,193,140,526,2,1,0.8596734966478897
2024-03-07,D,160,74,407,2,1,0.9020297299974752
2024-03-07,E,94,30,875,13,1,0.9604426763132516
2024-03-08,A,95,76,901,1,1,0.983384265842207
2024-03-08,B,167,143,244,10,1,0.8711829239916489
2024-03-08,C,85,120,939,9,1,0.9029540157331739
2024-03-08,D,156,60,753,5,1,0.8731555710135245
2024-03-08,E,199,121,803,6,1,0.9599316002582936
2024-03-09,A,98,77,880,9,0,0.7866056786591914
2024-03-09,B,77,127,480,6,1,0.9002780156690754
2024-03-09,C,91,42,378,3,1,0.8127016755645179
2024-03-09,D,63,100,700,5,1,0.8099384604614194
2024-03-09,E,152,50,927,13,1,0.7712632392622982
2024-03-10,A,44,73,201,10,1,0.7505333155428159
2024-03-10,B,83,95,876,3,1,0.9854435678997974
2024-03-10,C,165,146,320,10,1,0.7446975567910584
2024-03-10,D,57,66,399,4,1,0.9294649784626384
2024-03-10,E,79,75,597,12,1,0.7054697748029084
2024-03-11,A,160,136,435,5,1,0.7730446889728897
2024-03-11,B,60,44,423,5,1,0.7583674969555902
2024-03-11,C,87,97,472,4,1,0.9788817632265967
2024-03-11,D,165,64,747,10,1,0.9148452022669581
2024-03-11,E,186,106,743,10,1,0.754344804860404
2024-03-12,A,104,137,685,7,1,0.9127138785167298
2024-03-12,B,65,142,544,10,1,0.8273582275589085
2024-03-12,C,127,36,921,1,1,0.8579497582461343
2024-03-12,D,56,42,986,6,1,0.9652619390045223
2024-03-12,E,146,55,620,10,1,0.80823175573318
2024-03-13,A,179,101,251,1,1,0.9341576545731586
2024-03-13,B,59,53,630,4,1,0.9002649697874411
2024-03-13,C,155,48,775,10,1,0.8759825389526422
2024-03-13,D,184,78,582,12,1,0.7650219400272327
2024-03-13,E,159,77,904,3,1,0.864009223814221
2024-03-14,A,147,102,689,13,1,0.8490300576577507
2024-03-14,B,11,93,902,7,1,0.8212956304312876
2024-03-14,C,127,68,852,11,1,0.7385182868362375
2024-03-14,D,28,97,317,6,1,0.7822481999679417
2024-03-14,E,45,133,840,1,1,0.8203563742116948
2024-03-15,A,106,99,524,7,0,0.8557179372724811
2024-03-15,B,139,89,616,12,1,0.8620035743813531
2024-03-15,C,59,96,911,13,1,0.7570974588457203
2024-03-15,D,139,116,271,2,1,0.9986441472112771
2024-03-15,E,39,145,363,6,1,0.9872875853516141
2024-03-16,A,86,122,386,9,1,0.8228433559015611
2024-03-16,B,167,84,111,1,1,0.9943709123032911
2024-03-16,C,12,45,641,13,1,0.9922493885884046
2024-03-16,D,127,34,971,8,1,0.9526099883129264
2024-03-16,E,158,113,505,2,1,0.959405857610062
2024-03-17,A,25,105,649,4,1,0.7108481141574285
2024-03-17,B,160,143,848,2,1,0.8038965305767011
2024-03-17,C,84,96,279,14,1,0.8801783000081852
2024-03-17,D,64,35,518,6,1,0.9976474044469938
2024-03-17,E,110,145,589,12,1,0.7349099193656428
2024-03-18,A,91,74,902,14,1,0.9604170070322351
2024-03-18,B,143,96,947,7,1,0.7242757849153756
2024-03-18,C,158,64,677,11,1,0.8038299179613356
2024-03-18,D,29,111,867,10,1,0.7397574018225545
2024-03-18,E,63,62,263,14,1,0.9694784881878118
2024-03-19,A,134,81,998,3,1,0.7439121976486747
2024-03-19,B,126,127,491,5,0,0.7405498867464468
2024-03-19,C,77,74,111,12,1,0.8518425588520732
2024-03-19,D,155,122,927,6,0,0.7053063428839771
2024-03-19,E,139,89,762,3,1,0.8693323272036647
2024-03-20,A,171,39,444,2,1,0.9262760633031589
2024-03-20,B,168,85,562,9,1,0.7511994275649995
2024-03-20,C,158,102,255,14,1,0.7533299163553744
2024-03-20,D,153,126,359,4,1,0.9441910808518056
2024-03-20,E,112,81,320,4,1,0.9544047655748205
2024-03-21,A,187,92,584,4,1,0.8962227386115994
2024-03-21,B,16,56,191,6,1,0.9200843141684206
2024-03-21,C,95,34,609,7,1,0.8444032454905971
2024-03-21,D,88,50,749,7,1,0.8605930394357775
2024-03-21,E,74,42,312,10,1,0.9927621264730161
2024-03-22,A,91,130,272,4,1,0.7797553409962941
2024-03-22,B,148,92,407,7,1,0.7381599288062348
2024-03-22,C,43,81,723,12,1,0.9432057783958798
2024-03-22,D,189,58,521,10,1,0.9676254066820703
2024-03-22,E,114,93,116,8,1,0.9064404118259626
2024-03-23,A,69,77,128,1,1,0.7115279046886974
2024-03-23,B,197,133,888,12,1,0.8978061766617348
2024-03-23,C,196,115,299,1,1,0.719995612168207
2024-03-23,D,97,74,566,5,1,0.8536665762438024
2024-03-23,E,110,37,944,8,0,0.9148970164188046
2024-03-24,A,118,80,507,3,0,0.9869504194898441
2024-03-24,B,30,133,925,14,1,0.991224987301201
2024-03-24,C,144,144,639,3,1,0.7295186949140191
2024-03-24,D,103,147,451,8,1,0.7062834883092738
2024-03-24,E,121,121,436,8,1,0.8873990706562791
2024-03-25,A,187,96,660,4,1,0.9323901341913364
2024-03-25,B,178,118,477,7,0,0.9905466332783152
2024-03-25,C,158,65,751,11,1,0.8805644768908966
2024-03-25,D,190,61,450,12,1,0.7131206877639908
2024-03-25,E,26,69,501,7,0,0.8127978669823934
2024-03-26,A,87,118,725,6,1,0.9784952598545731
2024-03-26,B,181,61,534,14,0,0.997724620146841
2024-03-26,C,131,61,321,7,1,0.7775294860875454
2024-03-26,D,184,47,248,13,1,0.9935191836401788
2024-03-26,E,55,133,337,7,1,0.7161574620994078
2024-03-27,A,95,51,334,9,1,0.7129521207391034
2024-03-27,B,11,58,312,4,1,0.7640534098932016
2024-03-27,C,160,117,143,13,1,0.9274555033229612
2024-03-27,D,106,85,614,6,1,0.9066655906150272
2024-03-27,E,48,137,466,9,1,0.7480214904863719
2024-03-28,A,115,87,755,8,1,0.9179385145339014
2024-03-28,B,141,133,582,10,1,0.7932786790022662
2024-03-28,C,158,75,330,11,1,0.8066153706057217
2024-03-28,D,22,38,599,4,0,0.9282972280084282
2024-03-28,E,63,41,308,14,1,0.987422044035814
2024-03-29,A,130,49,686,3,1,0.8410957162305357
2024-03-29,B,110,87,231,13,1,0.9341199328441824
2024-03-29,C,163,66,841,5,0,0.7535117752921989
2024-03-29,D,47,75,871,12,1,0.7278971919469396
2024-03-29,E,128,100,615,13,1,0.7194560783448904
2024-03-30,A,89,87,154,4,1,0.8810462999789365
2024-03-30,B,171,59,693,3,1,0.9475148230540186
2024-03-30,C,58,92,977,3,0,0.8002714956088182
2024-03-30,D,39,87,216,4,1,0.8320596993866471
2024-03-30,E,103,84,212,7,1,0.8114266005619137
2024-03-31,A,122,121,862,11,1,0.789833053147566
2024-03-31,B,170,46,297,4,1,0.7534757400713924
2024-03-31,C,152,99,658,14,1,0.9219959160056835
2024-03-31,D,99,45,936,9,1,0.993894014510165
2024-03-31,E,12,106,718,1,1,0.8759437276566121
2024-04-01,A,90,138,662,5,0,0.9558184059627134
2024-04-01,B,163,144,680,13,1,0.8442718002259209
2024-04-01,C,158,103,803,5,1,0.8893511937870119
2024-04-01,D,135,132,394,2,1,0.9340639190290307
2024-04-01,E,109,99,908,6,1,0.7394048224434719
2024-04-02,A,66,60,695,8,1,0.7040207879296496
2024-04-02,B,161,137,717,14,0,0.7827159559286656
2024-04-02,C,192,121,369,8,1,0.8113621281669995
2024-04-02,D,115,118,304,6,0,0.8462713581020153
2024-04-02,E,193,136,695,2,1,0.7417736113352785
2024-04-03,A,187,62,618,6,1,0.7065470190326468
2024-04-03,B,157,117,754,7,1,0.9483605125966519
2024-04-03,C,129,43,412,5,1,0.7769590187332743
2024-04-03,D,140,116,829,5,1,0.8391797460065008
2024-04-03,E,98,114,483,12,1,0.73422873546638
2024-04-04,A,187,146,807,10,0,0.9051262316731128
2024-04-04,B,42,110,763,13,1,0.8211933628979644
2024-04-04,C,52,70,522,6,1,0.8838700482585847
2024-04-04,D,107,94,941,5,1,0.8992563743516252
2024-04-04,E,66,95,941,2,1,0.8380486793465318
2024-04-05,A,176,115,687,8,1,0.733580778106459
2024-04-05,B,68,39,710,3,1,0.7604091346407923
2024-04-05,C,144,50,631,10,1,0.9270254517065905
2024-04-05,D,152,149,843,5,1,0.7484859433857614
2024-04-05,E,23,56,480,9,1,0.9252188520998041
2024-04-06,A,122,92,165,9,0,0.8030989577827309
2024-04-06,B,53,126,653,4,1,0.8115798003750594
2024-04-06,C,32,118,478,2,0,0.8323216474752351
2024-04-06,D,20,149,367,10,0,0.8070012922425294
2024-04-06,E,50,65,584,5,1,0.8928023973017271
2024-04-07,A,152,77,337,8,1,0.8342808820960651
2024-04-07,B,21,31,874,3,1,0.9691559022893856
2024-04-07,C,116,69,585,1,1,0.7100150805359143
2024-04-07,D,17,130,991,11,1,0.9395779817148253
2024-04-07,E,119,147,886,9,1,0.8515620320729914
2024-04-08,A,25,30,674,13,1,0.900375999641088
2024-04-08,B,22,63,359,12,1,0.8282469063761845
2024-04-08,C,137,56,936,9,0,0.7088092477307176
2024-04-08,D,157,63,765,14,1,0.992037216992852
2024-04-08,E,18,145,585,2,1,0.9278747230343896
2024-04-09,A,130,40,549,12,1,0.8073394795976325
2024-04-09,B,140,105,575,14,1,0.9136042060992342
